Brasil	OPCAO	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Brasil	Bovino	92495364	102531758	107349052	107296556	106942565	109177486	118971418	121785084	123487834	124185999	127654597	128422666	132221568	135726280	139599106	144154103	147102314	152135505	154229303	155134073	158243229	161227938	158288540	161416157	163154357	164621038	169875524	176388726	185348838	195551576	204512737	207156696	205886244	199752014	202306731	205307954	209541109	212815311	211279082	211764292	212366132	215220508	218225177
Brasil	Bubalino	202933	266865	319829	343377	392911	473541	494676	542475	623574	702182	804478	882142	984811	1082128	1181219	1285043	1397097	1432112	1423348	1498890	1571349	1641950	1046106	977767	1017246	1068059	1102551	1118823	1113400	1148808	1133622	1173629	1156870	1131986	1146690	1135191	1184511	1278075	1261922	1332284	1319478	1370488	1370941
Brasil	Equino	5216543	5506968	5156830	4934086	4853209	4927867	5054703	5226776	5259708	5288762	5442283	5549995	5735208	5855273	5971494	6097785	6121515	6236607	6329213	6314130	6355725	6394145	5705096	5831533	5866780	5831341	5831817	5801055	5774493	5828376	5787250	5787249	5749117	5602053	5542182	5496817	5514253	5510601	5363185	5312076	5450601	5551288	5577539
Brasil	Suino - total	34191986	37640291	38742102	34532153	33698970	35695012	34331236	32429244	33175597	31677541	32327339	32247687	32539339	32479681	32120895	33015038	33623186	34290275	34532168	34184187	35141839	36062103	29202182	29637109	30006946	30838616	31562111	32605112	31918749	32304905	33085299	34063934	35173824	35945015	36819017	38045454	38956758	39307336	38795902	36743593	37930307	39795222	39950320
Brasil	Suino - matrizes de suinos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4615201	4753248	4826525	4822450
Brasil	Caprino	7170629	7100994	7484617	7423981	7665298	8069988	8325716	8864505	9036746	8935792	9674637	10020101	10595292	10791865	11312713	11669018	11894587	12172146	12159564	10618531	10879286	11271653	7436454	7968169	8164153	8622935	9346813	9537439	9429122	9581653	10046888	10306722	10401449	9450312	9355014	9163560	9312784	9386316	8646463	8779213	8851879	9620877	9780533
Brasil	Ovino	18876770	17828226	18002155	18008585	17418308	17806268	18380960	19054132	18588149	18121376	18447244	18658967	19659739	19859609	20084877	20041463	20014505	20127945	19955874	18008283	18436098	18336432	14725503	14533716	14268387	14399960	14784958	14638925	14277061	14556484	15057838	15588041	16019170	16239455	16630408	16811721	17380581	17668063	16789492	17290519	17614454	18410551	18433810
Brasil	Galinaceos - total	274377503	311867144	338977426	331585752	345710865	387656967	441321941	450047970	469923548	450752891	462783622	470087999	495640086	514550021	510098954	531219358	546235505	594392594	639625359	654167008	681088045	729531299	728086507	760621670	765222027	804575808	842740173	882888419	884145172	921322832	944298348	999041234	1011515701	1127658584	1198704048	1230086672	1238912537	1268209405	1245269485	1246637953	1320749401	1326452695	1352291029
Brasil	Galinaceos - galinhas	112980458	133441993	168131980	141575618	345710865	387656967	441321941	152252523	155084091	148642215	155986311	160501300	168096454	172037955	169790829	172605559	174508355	200544113	204160371	201784802	207539242	188367357	178527564	179628673	175851681	180194312	183494626	190233644	180427006	183799736	184786319	186573334	191622110	197618060	207711504	208871491	210761060	216219543	213230493	219681760	223913652	221985987	218732693
Brasil	Codornas	488450	467299	424430	279335	314643	612592	830717	837840	709527	866219	1251210	1393876	1841453	2442533	2454077	2348739	2464016	2542093	2488172	2417950	2424280	2939376	4219887	4303237	4707143	4837506	5775181	6045342	5575068	5980474	6243202	6837767	7207830	7586732	8976816	11485093	12992269	15567634	16436164	18171955	20332003	18971342	15099683
